DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,8,45,33.3,1005.45,66.84,951.83062,13.3,180,4.75,285.12,455.8125,2.76581,11.97
10,2,2020,13,8,46,33.3,1005.44,66.88,951.83062,13.3,90,4.75,284.89,455.85,2.76975,11.74
10,2,2020,13,8,47,33.3,1005.43,66.91,951.36834,13.3,135,4.75,285.81,456.1875,2.77031,12.66
10,2,2020,13,8,48,33.3,1005.42,66.9,954.60429,13.3,90,4.75,285.45,455.9625,2.78044,12.3
10,2,2020,13,8,49,33.3,1005.43,66.81,947.67012,26.6,90,4.75,285.85,456.3375,2.77369,12.7
10,2,2020,13,8,50,33.3,1005.43,66.83,946.74556,13.3,90,4.75,285.45,456.075,2.76919,12.3
10,2,2020,13,8,51,33.3,1005.43,66.81,945.35873,26.6,90,4.75,285.45,456.0375,2.76975,12.3
10,2,2020,13,8,52,33.31,1005.44,66.88,944.89645,26.6,135,4.75,285.45,456.0375,2.77031,12.3
10,2,2020,13,8,53,33.31,1005.46,66.79,944.89645,26.6,90,4.75,284.75,456.0375,2.78156,11.6
10,2,2020,13,8,54,33.31,1005.46,66.7,948.59467,13.3,90,4.75,285.26,456.225,2.78494,12.11
10,2,2020,13,8,55,33.31,1005.49,66.74,951.83062,26.6,180,4.75,285.1,455.925,2.781,11.95
10,2,2020,13,8,56,33.31,1005.46,66.62,953.21746,13.3,135,4.75,285.88,456.1875,2.772,12.73
10,2,2020,13,8,57,33.31,1005.46,66.69,952.75518,26.6,135,4.75,285.12,455.9625,2.77369,11.97
10,2,2020,13,8,58,33.31,1005.44,66.64,954.14201,13.3,135,4.75,286,456.3,2.77706,12.85
10,2,2020,13,8,59,33.31,1005.45,66.56,955.99112,26.6,90,4.75,285.1,455.85,2.77819,11.95
10,2,2020,13,9,0,33.31,1005.46,66.49,955.52885,26.6,90,4.75,285.1,456.2625,2.78156,11.95
10,2,2020,13,9,1,33.31,1005.48,66.38,952.75518,26.6,90,4.75,285.1,456.1125,2.77256,11.95
10,2,2020,13,9,2,33.31,1005.46,66.26,947.67012,26.6,135,4.75,285.76,456.1125,2.772,12.61
10,2,2020,13,9,3,33.31,1005.46,66.16,944.89645,26.6,135,4.75,286.3,456.15,2.77031,13.15
10,2,2020,13,9,4,33.31,1005.46,66.04,945.35873,26.6,135,4.75,284.65,456.3,2.77875,11.5
10,2,2020,13,9,5,33.31,1005.47,66.05,943.04734,26.6,135,4.75,285.62,455.9625,2.78044,12.47
10,2,2020,13,9,6,33.31,1005.46,65.95,941.19822,26.6,180,4.75,285.26,456.075,2.78494,12.11
10,2,2020,13,9,7,33.31,1005.47,65.84,950.90607,13.3,180,4.75,285.1,456.075,2.781,11.95
10,2,2020,13,9,8,33.31,1005.5,65.66,949.98151,13.3,180,4.75,284.89,456.3,2.78719,11.74
10,2,2020,13,9,9,33.31,1005.47,65.71,953.67973,26.6,180,4.75,286.18,455.9625,2.77819,13.03
10,2,2020,13,9,10,33.31,1005.47,65.71,953.21746,13.3,135,4.75,284.98,456.225,2.77931,11.83
10,2,2020,13,9,11,33.31,1005.44,65.64,952.75518,13.3,135,4.75,284.42,456.3,2.77987,11.27
10,2,2020,13,9,12,33.31,1005.46,65.67,951.83062,26.6,135,4.75,284.61,456.1875,2.77819,11.46
10,2,2020,13,9,13,33.31,1005.44,65.74,939.34911,13.3,180,4.75,285.22,456.075,2.77706,12.0700000000001
10,2,2020,13,9,14,33.31,1005.48,65.73,945.82101,26.6,90,4.75,284.44,456,2.772,11.29
10,2,2020,13,9,15,33.31,1005.42,65.73,940.27367,13.3,180,4.75,286.4,456.3,2.77144,13.25
10,2,2020,13,9,16,33.31,1005.46,65.79,937.03772,26.6,135,4.75,285.45,456.1875,2.76131,12.3
10,2,2020,13,9,17,33.31,1005.45,65.74,936.11317,13.3,180,4.75,285.71,456.0375,2.76581,12.56
10,2,2020,13,9,18,33.31,1005.43,65.78,934.72633,13.3,180,4.75,285.69,456.1875,2.77256,12.54
10,2,2020,13,9,19,33.32,1005.43,65.75,933.3395,13.3,180,4.75,284.89,455.925,2.77481,11.74
10,2,2020,13,9,20,33.32,1005.46,65.78,938.88683,26.6,135,4.75,284.42,456.0375,2.7765,11.27
10,2,2020,13,9,21,33.32,1005.44,65.82,944.43417,13.3,180,4.75,285.1,456.0375,2.77144,11.95
10,2,2020,13,9,22,33.32,1005.47,65.84,946.74556,13.3,135,4.75,285.43,455.9625,2.76356,12.28
10,2,2020,13,9,23,33.32,1005.48,65.81,947.20784,13.3,135,4.75,284.23,455.9625,2.77256,11.08
10,2,2020,13,9,24,33.32,1005.46,65.84,947.67012,13.3,180,4.75,286.02,456.1875,2.77369,12.87
10,2,2020,13,9,25,33.32,1005.5,65.88,949.51923,26.6,180,4.75,285.62,456.1125,2.77706,12.47
10,2,2020,13,9,26,33.32,1005.48,65.89,948.59467,13.3,135,4.75,285.85,456.1125,2.77369,12.7
10,2,2020,13,9,27,33.32,1005.48,65.99,942.12278,13.3,180,4.75,284.94,456.1125,2.77313,11.79
10,2,2020,13,9,28,33.33,1005.46,66.07,939.81139,13.3,135,4.75,285.85,456.2625,2.76356,12.7
10,2,2020,13,9,29,33.33,1005.5,66.1,942.12278,26.6,135,4.75,285.03,456.15,2.77256,11.88
10,2,2020,13,9,30,33.33,1005.49,66.13,942.12278,13.3,135,4.75,284.94,456,2.77706,11.79
10,2,2020,13,9,31,33.33,1005.5,66.16,951.36834,26.6,135,4.75,285.26,456.1125,2.781,12.11
10,2,2020,13,9,32,33.33,1005.51,66.11,952.2929,13.3,135,4.75,285.74,456.1875,2.77706,12.59
10,2,2020,13,9,33,33.33,1005.53,66.01,954.14201,13.3,135,4.75,284.42,456.0375,2.77144,11.27
10,2,2020,13,9,34,33.33,1005.51,66.06,954.14201,26.6,180,4.75,285.36,456.1125,2.77537,12.21
10,2,2020,13,9,35,33.33,1005.49,66.04,954.60429,13.3,135,4.75,286.37,456.2625,2.781,13.22
10,2,2020,13,9,36,33.33,1005.48,65.9,956.4534,13.3,135,4.75,284.4,456.075,2.781,11.25
10,2,2020,13,9,37,33.33,1005.5,65.9,955.99112,13.3,90,4.75,286.4,456.15,2.77875,13.25
10,2,2020,13,9,38,33.33,1005.47,65.86,952.2929,13.3,135,4.75,285.45,456.1875,2.77313,12.3
10,2,2020,13,9,39,33.34,1005.46,65.92,950.44379,13.3,180,4.75,285.03,456.675,2.77313,11.88
10,2,2020,13,9,40,33.34,1005.46,65.81,951.83062,13.3,180,4.75,286.18,456.1125,2.772,13.03
10,2,2020,13,9,41,33.34,1005.47,65.8,954.60429,26.6,180,4.75,285.34,456.45,2.78044,12.19
10,2,2020,13,9,42,33.34,1005.48,65.85,954.14201,26.6,180,4.75,285.17,456.2625,2.78662,12.02
10,2,2020,13,9,43,33.34,1005.47,65.69,957.84024,13.3,180,4.75,284.89,456.075,2.80069,11.74
10,2,2020,13,9,44,33.35,1005.48,65.56,964.31213,26.6,180,4.75,286.09,456.075,2.78325,12.94
10,2,2020,13,9,45,33.35,1005.48,65.5,964.31213,13.3,180,4.75,285.08,456.4125,2.78887,11.93
10,2,2020,13,9,46,33.34,1005.47,65.49,964.31213,13.3,180,4.75,284.72,456.1125,2.781,11.5700000000001
10,2,2020,13,9,47,33.34,1005.49,65.45,965.23669,13.3,180,4.75,285.12,456.45,2.78269,11.97
10,2,2020,13,9,48,33.34,1005.44,65.39,962.9253,13.3,180,4.75,284.72,456.1125,2.78775,11.5700000000001
10,2,2020,13,9,49,33.34,1005.44,65.29,960.15163,13.3,180,4.75,285.1,456.0375,2.78606,11.95
