DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP1,TEMP2
11,2,2020,0,3,33,19.30,21.18
11,2,2020,0,3,34,17.93,21.48
11,2,2020,0,3,35,18.28,21.58
11,2,2020,0,3,36,18.40,21.53
11,2,2020,0,3,37,17.98,21.61
11,2,2020,0,3,38,18.80,20.53
11,2,2020,0,3,39,17.73,21.08
11,2,2020,0,3,40,18.98,20.63
11,2,2020,0,3,41,18.80,22.85
11,2,2020,0,3,42,18.63,21.51
11,2,2020,0,3,43,19.00,21.21
11,2,2020,0,3,44,19.15,21.36
11,2,2020,0,3,45,18.80,20.88
11,2,2020,0,3,46,19.25,22.22
11,2,2020,0,3,47,19.45,21.11
11,2,2020,0,3,48,19.53,22.04
11,2,2020,0,3,49,18.73,22.01
11,2,2020,0,3,50,18.53,21.36
11,2,2020,0,3,51,20.05,22.67
11,2,2020,0,3,52,19.15,22.06
11,2,2020,0,3,53,18.33,20.78
11,2,2020,0,3,54,17.20,21.46
11,2,2020,0,3,55,18.08,22.04
11,2,2020,0,3,56,18.00,20.93
11,2,2020,0,3,57,17.88,20.40
11,2,2020,0,3,58,18.43,21.18
11,2,2020,0,3,59,18.43,20.93
11,2,2020,0,4,0,18.38,19.85
11,2,2020,0,4,1,18.00,20.83
11,2,2020,0,4,2,18.75,20.28
11,2,2020,0,4,3,18.53,19.88
11,2,2020,0,4,4,17.53,21.61
11,2,2020,0,4,5,18.73,20.83
11,2,2020,0,4,6,18.58,21.21
11,2,2020,0,4,7,17.98,22.19
11,2,2020,0,4,8,18.90,20.85
11,2,2020,0,4,9,19.63,20.38
11,2,2020,0,4,10,18.28,21.89
11,2,2020,0,4,11,18.93,21.36
11,2,2020,0,4,12,18.50,20.88
11,2,2020,0,4,13,17.33,22.16
11,2,2020,0,4,14,18.73,22.39
11,2,2020,0,4,15,17.68,20.08
11,2,2020,0,4,16,18.85,21.08
11,2,2020,0,4,17,19.35,21.68
11,2,2020,0,4,18,18.68,21.94
11,2,2020,0,4,19,18.28,21.61
11,2,2020,0,4,20,19.60,21.28
11,2,2020,0,4,21,19.30,20.88
11,2,2020,0,4,22,18.48,21.11
11,2,2020,0,4,23,18.85,20.45
11,2,2020,0,4,24,18.18,20.40
11,2,2020,0,4,25,17.85,20.18
11,2,2020,0,4,26,19.15,21.21
11,2,2020,0,4,27,19.75,20.43
11,2,2020,0,4,28,19.58,22.57
11,2,2020,0,4,29,18.45,20.95
11,2,2020,0,4,30,18.23,21.21
11,2,2020,0,4,31,19.73,20.25
11,2,2020,0,4,32,18.90,21.36
11,2,2020,0,4,33,18.75,21.13
11,2,2020,0,4,34,17.88,20.88
11,2,2020,0,4,35,19.23,22.01
11,2,2020,0,4,36,18.75,21.79
11,2,2020,0,4,37,18.00,20.48
11,2,2020,0,4,38,18.80,21.86
11,2,2020,0,4,39,17.68,21.91
11,2,2020,0,4,40,18.28,20.83
11,2,2020,0,4,41,19.28,21.99
11,2,2020,0,4,42,18.00,21.94
11,2,2020,0,4,43,18.40,20.40
11,2,2020,0,4,44,19.68,21.56
11,2,2020,0,4,45,18.95,22.85
11,2,2020,0,4,46,18.55,21.68
11,2,2020,0,4,47,17.55,20.23
11,2,2020,0,4,48,19.75,22.54
11,2,2020,0,4,49,17.60,20.75
11,2,2020,0,4,50,18.80,20.03
11,2,2020,0,4,51,19.60,22.01
11,2,2020,0,4,52,18.20,20.03
11,2,2020,0,4,53,19.33,21.21
11,2,2020,0,4,54,18.13,21.16
11,2,2020,0,4,55,18.65,21.38
11,2,2020,0,4,56,19.70,21.16
11,2,2020,0,4,57,17.68,21.13
11,2,2020,0,4,58,17.63,21.13
11,2,2020,0,4,59,18.33,23.69
11,2,2020,0,5,0,18.18,21.38
11,2,2020,0,5,1,18.00,21.16
11,2,2020,0,5,2,20.10,19.38
11,2,2020,0,5,3,17.78,20.98
11,2,2020,0,5,4,19.30,21.66
11,2,2020,0,5,5,19.60,21.06
11,2,2020,0,5,6,18.58,20.88
11,2,2020,0,5,7,18.55,20.13
11,2,2020,0,5,8,18.48,20.78
11,2,2020,0,5,9,19.18,21.23
11,2,2020,0,5,10,19.23,21.66
11,2,2020,0,5,11,19.25,21.08
11,2,2020,0,5,12,19.40,20.83
11,2,2020,0,5,13,19.78,20.75
11,2,2020,0,5,14,18.98,21.56
11,2,2020,0,5,15,17.58,20.98
11,2,2020,0,5,16,19.18,20.40
11,2,2020,0,5,17,17.68,22.16
11,2,2020,0,5,18,20.18,20.88
11,2,2020,0,5,19,19.78,21.21
11,2,2020,0,5,20,18.65,22.22
11,2,2020,0,5,21,18.80,21.11
11,2,2020,0,5,22,19.80,21.74
11,2,2020,0,5,23,17.98,21.38
11,2,2020,0,5,24,19.35,21.28
11,2,2020,0,5,25,18.13,21.26
11,2,2020,0,5,26,18.65,21.58
11,2,2020,0,5,27,18.53,20.83
11,2,2020,0,5,28,18.88,21.18
11,2,2020,0,5,29,18.53,21.86
11,2,2020,0,5,30,17.60,20.73
11,2,2020,0,5,31,17.58,21.76
11,2,2020,0,5,32,19.60,22.04
11,2,2020,0,5,33,18.15,20.53
11,2,2020,0,5,34,19.10,20.93
11,2,2020,0,5,35,17.90,20.85
11,2,2020,0,5,36,18.35,20.53
11,2,2020,0,5,37,19.45,21.84
11,2,2020,0,5,38,19.85,22.59
11,2,2020,0,5,39,18.93,21.28
11,2,2020,0,5,40,18.80,21.48
11,2,2020,0,5,41,19.45,20.68
11,2,2020,0,5,42,18.25,22.34
11,2,2020,0,5,43,18.93,22.01
11,2,2020,0,5,44,18.38,20.43
11,2,2020,0,5,45,18.38,20.83
11,2,2020,0,5,46,18.18,20.40
11,2,2020,0,5,47,18.80,21.68
11,2,2020,0,5,48,18.23,22.16
11,2,2020,0,5,49,18.78,22.80
11,2,2020,0,5,50,19.45,19.88
11,2,2020,0,5,51,19.05,20.40
11,2,2020,0,5,52,20.00,20.95
11,2,2020,0,5,53,18.45,20.15
11,2,2020,0,5,54,18.35,21.26
11,2,2020,0,5,55,18.93,21.89
11,2,2020,0,5,56,17.88,20.93
11,2,2020,0,5,57,18.48,20.78
11,2,2020,0,5,58,19.58,22.32
11,2,2020,0,5,59,19.18,22.16
11,2,2020,0,6,0,17.83,21.79
11,2,2020,0,6,1,17.98,22.54
11,2,2020,0,6,2,19.60,21.89
11,2,2020,0,6,3,19.78,20.55
11,2,2020,0,6,4,17.03,19.78
11,2,2020,0,6,5,18.00,20.98
11,2,2020,0,6,6,18.65,21.18
11,2,2020,0,6,7,19.33,20.08
11,2,2020,0,6,8,19.20,20.48
11,2,2020,0,6,9,19.10,22.47
11,2,2020,0,6,10,18.95,21.79
11,2,2020,0,6,11,17.63,21.89
11,2,2020,0,6,12,18.95,20.73
11,2,2020,0,6,13,17.68,21.99
11,2,2020,0,6,14,17.93,21.13
11,2,2020,0,6,15,19.95,20.43
11,2,2020,0,6,16,19.60,21.99
11,2,2020,0,6,17,19.23,20.08
11,2,2020,0,6,18,18.95,22.34
11,2,2020,0,6,19,17.78,20.55
11,2,2020,0,6,20,18.83,21.76
11,2,2020,0,6,21,18.95,21.74
11,2,2020,0,6,22,17.78,21.26
11,2,2020,0,6,23,19.08,20.65
11,2,2020,0,6,24,19.13,21.66
11,2,2020,0,6,25,18.25,20.78
11,2,2020,0,6,26,18.40,20.43
11,2,2020,0,6,27,18.53,21.71
11,2,2020,0,6,28,19.93,21.91
11,2,2020,0,6,29,17.88,21.74
11,2,2020,0,6,30,19.05,21.46
11,2,2020,0,6,31,18.90,21.79
11,2,2020,0,6,32,18.38,20.65
11,2,2020,0,6,33,19.60,21.68
11,2,2020,0,6,34,19.98,20.25
11,2,2020,0,6,35,18.40,20.03
11,2,2020,0,6,36,18.78,21.48
11,2,2020,0,6,37,18.88,21.53
11,2,2020,0,6,38,18.58,21.21
11,2,2020,0,6,39,18.38,21.18
11,2,2020,0,6,40,18.80,22.42
11,2,2020,0,6,41,19.65,20.73
11,2,2020,0,6,42,18.90,22.82
11,2,2020,0,6,43,18.45,22.37
11,2,2020,0,6,44,18.08,20.83
